ID,Tipo,REF,Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status da taxa,Classe de taxa,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vender individualmente?,Peso (g),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Nota da compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Metadado: _wc_min_qty_product,Metadado: _wc_max_qty_product,Limite de download,Dias para expirar o download,Produto ascendente,Produtos agrupados,Aumenta vendas,Venda cruzada,URL externa,Texto do botão,Posição,Swatches Attributes,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1,Nome do atributo 2,Valores do atributo 2,Visibilidade do atributo 2,Atributo global 2,Metadado: _et_pb_post_hide_nav,Metadado: _et_pb_page_layout,Metadado: _et_pb_side_nav,Metadado: _et_pb_use_builder,Metadado: _et_builder_version,Metadado: _et_pb_first_image,Metadado: _et_pb_truncate_post,Metadado: _et_pb_ab_stats_refresh_interval,Metadado: _aioseop_keywords,Metadado: _aioseop_description,Metadado: _aioseop_title,Metadado: _ywsbs_subscription,Metadado: _ywsbs_price_is_per,Metadado: _ywsbs_price_time_option,Metadado: _ywsbs_max_length,Metadado: _wcct_goaldeal_stock_3870_1556384700_1556402700,Valores do atributo 3,Visibilidade do atributo 3,Atributo global 3,Nome do atributo 4,Valores do atributo 4,Visibilidade do atributo 4,Atributo global 4,Atributo padrão 4,Nome do atributo 5,Valores do atributo 5,Visibilidade do atributo 5,Atributo global 5,Metadado: _wp_old_date,Pedido*,Dúzias para encomenda,Arquivo/Pasta Estampa (Link G.Drive),nome do produto_FSB,tipo de produto_FSB
,,1003,,,,,,,,,,,,29,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE – BRANCA 2 LISTRAS VERMELHAS,ATOALHADA
,,1004,,,,,,,,,,,,9,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1004.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE – PRETA 3 LISTRA ROSA,ATOALHADA
,,1004A,,,,,,,,,,,,6,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1011.1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - PRETA 3 LISTRAS VERDE LIMÃO,ATOALHADA
,,1004B,,,,,,,,,,,,24,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1074.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SKATE - PRETA  3 LISTRAS (VERDE, AMARELA, VERMELHA)",ATOALHADA
,simple,1004C,,-1,0,,,,,,taxable,,1,21,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1068.1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SKATE - BRANCA 3 LISTRAS (VERDE, AMARELA, VERMELHA)",ATOALHADA
,simple,1005,,-1,0,,,,,,taxable,,1,4,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1053.1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,SKATE - PRETA 3 LISTRAS BRANCO + 3 LISTRAS BRANCA PÉS,ATOALHADA
,simple,1005A,,,,,,,,,,,,3,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1084.1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,SKATE - PRETA 3 LISTRAS AZUL + 3 LISTRAS  AZUL PÉS,ATOALHADA
,simple,1006,,'-1,0,,,,,,taxable,,1,3,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1006.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - BRANCA LISTRAS FINAS PRETO/BRANCO PUNHO BRANCO,ATOALHADA
,,1006A,,,,,,,,,,,,10,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1007A.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - PRETA LISTRAS FINAS PRETO/CINZA CLARO PUNHO CINZA CLARO,ATOALHADA
,,1006B,,,,,,,,,,,,3,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1010.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE – BRANCA LISTRAS FINAS CINZA/BRACO CINZA CLARO NOS PÉS,ATOALHADA
